award number,published_year,investigators
0723986,2007,"Gokariksel,Pervin"
9710445,1997,"Mitchneck,Beth"
7409949,1974,"Hudson,John"
7905530,1979,"Pyle,Gerald"
8006996,1980,"Carlson,Alvar"
9322611,1994,"Wolcott,John"
0452152,2005,"Wangari,Esther|Emel,Jacque"
0221376,2002,"Bradley,Raymond"
8120889,1982,"Zinnes,Joseph"
9410411,1994,"Liu,Kam-biu"
9119009,1992,"French,William"
9506643,1995,"Blum,Michael"
8208448,1982,"Muller,Edward"
9873086,1998,"Bickel,Peter|Malik,Jitendra"
9113062,1991,"Aitken,Stuart"
9711867,1997,"Gregory,James"
9001229,1990,"Mark,David"
9506485,1995,"Onsrud,Harlan"
9207836,1992,"Golledge,Reginald"
7681736,1976,"Alonso,William"
0425734,2004,"Padoch,Christine"
0525469,2005,"Bilsborrow,Richard"
9514862,1996,"Lansing,John"
7908758,1979,"Morrill,Richard"
0924719,2009,"James,Allan"
0807462,2008,"Mills,Jacqueline|Curtis,Andrew"
9631795,1996,"Peet,Richard"
0602581,2006,"Rey,Sergio"
9304779,1993,
9405254,1994,"Pickles,John"
0425077,2004,"Silvey,Rachel"
9628200,1996,"Manz,Beatriz"
8213425,1983,"Clarke,Antony|Charlson,Robert"
8922706,1990,"Press,S. James"
0080447,2000,"Onsrud,Harlan"
9300633,1993,"Gopal,Sucharita"
9711393,1997,"Randolph,James"
9810127,1998,"Guldmann,Jean-Michel"
7615525,1976,"Ballou,Donald|Pipkin,John"
9809245,1998,"Soule,Peter|Grissino-Mayer,Henri|Knapp,Paul"
0849625,2009,"Elwood,Sarah"
7823945,1978,"Larimore,Ann"
9508202,1995,"Herwitz,Stanley"
8900403,1989,"Dorn,Ronald"
0000281,2000,"Orvis,Kenneth"
9818545,1999,"Kitchin,Robert|Blades,Mark|Jacobson,R. Daniel|Golledge,Reginald"
0136830,2002,"Rock,Michael|Angel,David"
9305394,1993,"Chan,Kam-Wing"
9303692,1993,
9423204,1995,"Turner,B."
9627817,1996,"Romm,Jeffrey"
0000309,2000,"Nagurney,Anna"
8109290,1981,"Beyers,William"
9906948,1999,"Roberts,Susan"
0727220,2007,"Zarin,Daniel"
9709137,1997,"Rigby,David"
