award number,published_year,investigators
9207765,1992,"MacKay,David"
8904352,1989,"Knox,James"
9119032,1991,"Marcus,Melvin|de Souza,Anthony"
9911510,2000,"Silvey,Rachel"
8420508,1985,"Aiken,Charles"
9600490,1996,"Malecki,Edward"
9530091,1996,"Dousset-Flament,Benedicte"
0096812,2001,"Ruth,Matthias"
9022868,1991,"Hanson,Susan"
8016760,1980,"Garfinkel,Robert"
9319967,1994,"Schaetzl,Randall"
8519506,1986,"Low,Frank|McCarthy,Donald"
9412901,1994,"Mark,David"
0243092,2003,"Perz,Stephen"
8112792,1981,"Putman,Stephen"
0521774,2005,"Aalto,Rolf"
8701108,1987,"Scott,Allen"
0623599,2006,"Murphy,Alexander"
9650966,1996,"Wilder,Dean|Weinkauf,Ronald|Stoelting,Paul|Chu,Gregory"
0000266,2000,"Quigley,John"
7906662,1979,"Rooney,John"
9021778,1991,"Harris,Trevor"
9696236,1996,"Horowitz,Joel|Thill,Jean-Claude"
0526312,2005,"Foote,Kenneth"
8520159,1986,"Pratt,Geraldine|Hanson,Susan"
8208305,1982,"Haynes,Kingsley"
9152930,1991,"Kelley,Philip"
9406130,1994,"Schoenberger,Erica"
9308889,1993,"Myers,Dowell"
9707648,1997,"Gomez,Basil"
7811378,1978,"Arey,David"
68S1853,1968,
9305029,1993,
0824618,2009,"Marsden,Peter|Hout,Michael|Smith,Tom"
0241637,2004,"Dixon,John"
68S1778,1968,
9711900,1997,"Brown,Lawrence"
8512205,1986,"Sheppard,Eric"
0903088,2009,"Moeller,Kathryn|Roy,Ananya"
7251022,1972,
0921436,2009,"Steinberg,Philip"
0962689,2010,"Lawson,Victoria"
0616724,2006,"Yu,Hongbo|Shaw,Shih-Lung"
9730661,1998,"Hanson,Susan"
0503305,2005,"Cronon,William"
8421027,1985,"Muller,Peter"
9802637,1998,"Sack,Robert"
9802091,1998,"Jones,John"
9109733,1991,"Malecki,Edward"
8812587,1988,"Abrahams,Athol"
67B6328,1967,
0112676,2001,"Tomaskovic-Devey,Donald|Thomas,Melvin"
0851898,2009,"Hultman,Nathan"
7815142,1978,"Hewings,Geoffrey J"
0925151,2009,"Carmody,Padraig|Murphy,James"
8304921,1983,
9406571,1994,"Angel,David"
9455632,1995,"Hanson,Susan"
0547725,2006,"Torres,Rebecca"
0349825,2004,"Leslie,Paul"
0003447,2001,"Bierman,Paul"
7906395,1979,"Hudson,John"
7808475,1978,"Edwards,Clinton"
9106114,1991,"Reeder,Philip|Day,Michael"
9406448,1994,"Roseman,Curtis"
8509946,1985,"Zaniewski,Kazimierz|Borowiecki,Barbara"
0752904,2008,"Sills,Erin"
6931153,1969,
7246130,1972,
0610831,2005,"Myint,Soe Win"
9712016,1997,"Sherman,Douglas|Bauer,Bernard"
0518429,2005,"Patten,Duncan|Shanley,James|Graumlich,Lisa|Gardner,Kristin|McGlynn,Brian"
8107229,1981,"Denevan,William"
9811187,1998,"Horn,Sally"
9627919,1996,"O'Loughlin,John"
8618084,1987,"Michaelsen,Joel"
8319062,1984,"Hsu,Mei-Ling"
9728841,1998,"Wells,Lisa|Noller,Jay"
0620793,2006,"Shinker,Jacqueline|Gray,Stephen|Fagre,Daniel|Graumlich,Lisa|Pederson,Gregory|Graumlich,Lisa"
8900402,1989,"Kubik,Peter"
0652304,2007,"Feng,Zhaodong"
9023061,1991,"MacEachren,Alan"
9225136,1993,"Ongtooguk,Paul|Schneider,William"
0302703,2003,"Tague,Christina"
0002282,2000,"Lake,Robert"
8040696,1980,"Welch,Roy|Pannell,Clifton"
9708436,1998,"Newbold,K. Bruce"
8600465,1986,"Anselin,Luc"
0525592,2005,"Carr,David"
0751292,2008,"Roberts,Dar"
9508061,1995,"Mathewson,Kent"
0196547,2001,"Malanson,George"
9011869,1991,"Robinson,David"
0327293,2003,"Arce,Javier|Pinedo-Vasquez,Miguel"
9122232,1992,"Griffith,Daniel"
9122659,1992,"Nordstrom,Karl"
9411008,1994,"Jankowski,Piotr"
9314750,1993,"Jacobson,Harold"
8712109,1987,"Olson,Judy"
9223033,1993,"Madden,Janice"
8709590,1987,"Schneider,Nicholas|Ritter,Dale"
8420162,1985,"Pyne,Stephen"
0002446,2000,"Rocheleau,Dianne"
68S2023,1968,
0454840,2005,"Leinbach,Thomas|Zook,Matthew"
8608123,1986,"Posey,Darrell|Parker,Eugene"
0317293,2003,"Heller,Morton"
0825823,2008,"Smith,Jeremy|Veblen,Thomas"
8907871,1989,"Vural,Leyla|Lake,Robert"
9096117,1989,"Kenney,Martin"
0002346,2000,"Liu,Kam-biu"
0820501,2008,"Knowles,Anne"
8208339,1982,"Fotheringham,A. Stewart"
0721025,2007,"Nijman,Jan|Grant,Richard"
0228878,2003,"Pamuk,Ayse|LeGates,Richard"
7516103,1975,"Dacey,Michael"
9351569,1993,"Warren,Stacy"
0519764,2005,"Tornqvist,Torbjorn"
8800631,1988,"Shafer,David|Davis,Owen"
9423650,1995,"Hester,Thomas|Morton,Robert|Ricklis,Robert"
0352683,2004,"Mason,Joseph"
8821551,1989,"Conklin,Harold"
9601270,1996,"Hopkins,Lewis|Knaap,Gerrit"
0928871,2009,"Holland,Edward|O'Loughlin,John"
68S1755,1968,
0722402,2007,"Murray,Brad"
0233386,2003,"Olson,Judy|Lobben,Amy"
9304330,1993,"Watts,Michael"
9122129,1992,"Brazel,Anthony"
9820067,1999,"Mitchell,Donald"
8605437,1986,"Richardson,Bonham"
9619410,1997,"Morgan,Penelope"
7309037,1972,"DATA NOT AVAILABLE,"
8117807,1982,"Sack,Robert"
9627007,1996,"Moskovits,Debra|Mueller,Gregory|Muraski-Stotz,M. Frances"
9406270,1994,"Campbell,David"
0814537,2008,"Zandbergen,Paul"
9224003,1993,"Polenske,Karen"
9024225,1991,"Herricks,Edwin|Rhoads,Bruce"
0243295,2003,"Froehling,Oliver|Jones,John|Roberts,Susan"
8921273,1990,"Logan,John|Alba,Richard"
9023967,1991,"Sonnenfeld,Joseph"
8750004,1987,"Petersik,J.Timothy"
0603088,2006,"Roy,Ananya"
8706623,1987,"Riehl,Herbert|Barry,Roger"
7305695,1974,"Sternberg,Hilgard"
8912046,1989,"Brook,George"
9712017,1997,"Murton,Brian"
0924521,2009,"Lafon,Charles|Cairns,David"
0101229,2001,"Jones,John"
9726863,1997,"McDonnell,Archie|Evans,Barry|Hamlett,James|Petersen,Gary|Knight,C. Gregory"
9211924,1992,"Cox,Kevin"
8306205,1983,"Evinger,Suzann"
9008956,1990,"Lawson,Victoria"
0616030,2006,"Murphy,James"
8218690,1983,"Bohland,James"
0825843,2008,"Martin,Lauren|Secor,Anna"
9208169,1992,"Herwitz,Stanley"
0309918,2003,"Baker,William"
9404718,1994,"Dorn,Ronald"
8215141,1983,"Gober,Patricia"
0703357,2007,"Dunn,Elizabeth"
8714409,1988,"Roberts,Rebecca"
0640859,2007,"Beissinger,Steven|Cicero,Carla|Conroy,Chris|Moritz,Craig"
8707504,1987,"Knox,James"
0540928,2006,"Schoennagel,Tania|Veblen,Thomas"
0503178,2005,"Crews,Kelley"
9711688,1997,"Smith,Nigel J."
0630394,2006,"Malanson,George|Shen,Zehao|Linderman,Marc"
0117381,2001,"Zimmerer,Karl"
7503433,1974,"Gale,Stephen"
8901437,1989,"Phillips,Fred"
9422817,1995,"Jarosz,Lucy"
7618307,1976,"DATA NOT AVAILABLE,"
9208620,1992,"Lee,Lung-fei"
9819148,1999,"Schaetzl,Randall"
8219548,1983,"Chapman,Murray"
0136193,2002,"Pace,Kelley"
0243045,2003,"Oakes,Timothy"
8309590,1984,"O'Kelly,Morton"
0402498,2004,"Robbins,Paul"
7421670,1975,
8604438,1986,"Teitz,Michael"
0417131,2004,"Goodchild,Michael"
0424916,2004,"Clarke,Keith"
0648025,2007,"Schoof,Justin"
0228853,2003,"Wohl,Ellen"
9320043,1994,"Hooks,Gregory"
9809154,1998,"Stoll,Michael"
69Y5918,1969,
0929005,2009,"Moore,Jamila|Ng'Weno,Bettina"
7355538,1973,
9911911,2000,"Turner,B."
8104595,1981,"Murton,Brian"
0821959,2008,"Sugita,Shinya|McLauchlan,Kendra"
8519776,1985,"Haack,Barry"
7714171,1977,"Hanson,Susan"
8317273,1984,
1000317,2009,"Pulver,Simone"
8411367,1984,"Terry,Ronald|Walker,Harley"
0422108,2004,"Schaetzl,Randall"
0902777,2009,"Jensen,Natalie|Mills,Amy"
8121087,1982,"Erickson,Rodney"
8704256,1987,"Wolch,Jennifer"
8309046,1983,"Lentnek,Barry"
9703894,1997,"Porter,Theodore|Ross,Dorothy"
7466582,1974,
6931166,1969,
9950480,1999,"Wisniewski,Lance"
9105700,1991,
9224362,1993,"Lloyd,Robert"
9511577,1995,"Ward,Michael|O'Loughlin,John"
9628727,1996,"Sherman,Douglas"
9000221,1990,"Dwoskin,Gary"
0000233,2000,"Hope,Allen"
8608128,1986,"Stafford,Howard"
9422272,1995,"Rosenfeld,Richard|Kohfeld,Carol"
8200546,1981,"Doolittle,William"
0920370,2010,"Rignall,Karen|Cliggett,Lisa"
9515296,1996,"Guillet,David"
9906946,1999,"Carney,Judith"
8718146,1988,"Kim,Tschangho"
0136818,2002,"Scott,Darren"
0100859,2001,"Knox,James"
7707742,1977,"Zelinsky,Wilbur"
0302425,2003,"Sheppard,Eric"
9014705,1990,
8716764,1988,"Turner,B."
7726752,1978,"Parsons,James"
0327295,2003,"Walker,Richard"
9627457,1996,"Momsen,Janet"
8822436,1989,"James,Allan"
9309357,1993,"Goe,W"
7910521,1979,"Armstrong,R. Warwick"
68E8216,1968,
9973474,1999,"Gopal,Sucharita"
9207278,1992,
9596087,1995,"Shrestha,Nanda"
0818066,2008,"Kockelman,Kara"
9711357,1997,"Wescoat,James"
9421881,1995,"Veblen,Thomas"
0321938,2003,"Morin,Karen"
9251622,1992,"Hartman,Ronald|Gribb,William"
9396228,1993,"Butler,David"
68B7000,1968,
8606835,1986,"Cook,Karen"
0847133,2009,"Mountz,Alison"
0620176,2006,"Pataki,Diane"
7815723,1978,"Porter,Philip"
0243397,2003,"Mutersbaugh,Tad"
9309275,1993,"Oberhauser,Ann"
9810941,1998,"Savage,Melissa"
9119824,1992,"Michener,William"
8110253,1981,"Tobler,Waldo|Golledge,Reginald"
8819686,1989,"LeBoutillier,David|Waylen,Peter"
9511606,1995,"O'Loughlin,John"
9810255,1998,"Emel,Jacque"
7619009,1976,"Rees,John"
0526240,2005,"Schein,Richard"
9422382,1995,"Doolittle,William"
0647838,2007,"Kenney,Martin"
0221043,2002,"Byrne,Roger"
0328234,2003,"Ford,Jesse|Kingston,Deanna"
9408379,1994,"Pandit,Kavita"
0723068,2007,"Allard,Francis|Moore,Robert|Lewis,Jonathan|Benhart, Jr.,John|Chiarulli,Beverly"
8722375,1988,"Graumlich,Lisa"
9810075,1998,"Chrisman,Nicholas"
8520094,1986,"Cox,Kevin"
9730920,1998,"Nijman,Jan"
0520933,2005,"James,Allan"
0317878,2003,"Malecki,Edward"
8610241,1987,"McDermott,Drew"
1003609,2010,"Arenas,Helbert|Lam,Nina"
0921852,2009,"Wynn,Theresa|Curran,Joanna|Resler,Lynn|Hession,William"
9819095,1999,"Birnir,Bjorn|Smith,Terence"
0296075,2001,"Malecki,Edward"
0847722,2009,"Yeh,Emily"
0553965,2006,"Mark,David|Bohnemeyer,Juergen"
6931156,1969,
0818575,2008,"Hewings,Geoffrey J"
9355633,1994,"Rankin,Moira"
0215291,2002,"Marcus,William|McDowell,Patricia"
0748594,2008,"Moritz,Mark"
9155943,1992,"Fox,Edward|Carstensen,Laurence|Morill,Robert|Shaffer,Clifford"
0802672,2008,"Millington,Andrew"
0079252,2000,"Mason,Joseph"
8611088,1986,"Zimmerer,Karl|Parsons,James"
7711318,1977,"Rayner,John|Moellering,Harold"
9318643,1994,"Montello,Daniel|Self,Carole M.|Golledge,Reginald"
8700864,1986,"Scott,Robert|Converse,Philip"
0296032,2001,"Abrahams,Athol|Rhoads,Bruce"
9975657,1999,"Kretzschmar,William"
9801753,1998,"Usselman,Thomas"
0823717,2008,"Martin,Geoffrey"
9422220,1995,"Dorn,Ronald"
8708088,1987,"Fletcher,Thomas|Oberlander,Theodore"
0096646,2000,"Abler,Ronald"
0083110,2000,"Golledge,Reginald"
0350003,2004,"Reidy,Michael|Rydell,Robert"
0837950,2008,"Chang,Heejun|George,Linda|Duh,Jiunn-Der|Shandas,Vivek"
8419773,1985,"Rogerson,Peter"
0930012,2008,"Seto,Karen"
0350910,2004,"Fabrikant,Sara"
0719623,2008,"Solis,Patricia|Richardson,Douglas"
0757085,2007,"Painter,Thomas"
9605043,1997,"Wolch,Jennifer"
7923699,1980,"McMahon,Anne|Sell,Ralph"
8508460,1985,"Griffith,Daniel"
9205760,1992,"Storper,Michael"
8400367,1984,"Petrie,William"
1003598,2010,"McClintock,Nathan|Sayre,Nathan"
8006234,1980,"Meinig,Donald"
0802518,2008,"Blackden,Chris|Roberts,Susan"
0929009,2009,"Gupta,Clare|Fortmann,Louise"
0718091,2007,"Grubesic,Tony"
9896005,1997,"Wiegandt,Ellen|Kohler,Larry"
0351341,2004,"Richardson,Douglas"
7700191,1977,"Tobler,Waldo"
8812828,1988,"Scott,Allen"
7414923,1974,"Janzen,Daniel"
0080826,2000,"Topa,Giorgio"
7808983,1978,"Parsons,Kermit"
9107856,1991,"Smith,Neil"
0002427,2000,"McEvoy,Arthur"
9628375,1996,"Williams,Mark"
7140227,1971,
9724955,1998,"Hanink,Dean"
8822044,1989,"Jackson,Randall"
9500196,1995,"Gilmartin,Patricia"
7726977,1978,"Parnicky,Joseph|Rayner,John"
9811231,1998,"Hanson,Susan"
0302498,2003,"Stallins,Jon"
0622927,2006,"Watts,Michael"
0910041,2009,"Solis,Patricia|Foote,Kenneth|Koeppe,Matthew|Schlemper,Mary|Solem,Michael"
8112783,1981,"Mulligan,Gordon|Gibson,Lay"
8200421,1982,"Petrie,William"
9205068,1992,"Lawson,Victoria"
0921537,2009,"Grabe,Shelly"
8160644,1981,"Manson,Gary"
0091921,2001,"Scott,Allen"
9321238,1994,"Leathers,Daniel"
0602816,2006,"Rogan,John"
9628230,1996,"Graf,William|Marcus,Melvin"
7309058,1973,"Brown,Lawrence"
9315699,1993,"Benioff,Ron"
9628292,1996,"Mitchell,Donald"
0349431,2004,"Mote,Victor"
9627280,1996,"Bonney,Richard|Fitzpatrick,John|Winkler,David|Dhondt,Andre"
0526101,2005,"Curran,Joanna"
8718397,1988,"Meierding,Thomas"
0549997,2006,"Brown,Peter|Grissino-Mayer,Henri|Speer,James"
9300002,1993,"Brillinger,David"
0446539,2004,"Jankowski,Piotr"
0213319,2002,"Haynie,Dana"
0919151,2009,"Li,Changsheng|Martin,Mary|Ollinger,Scott"
9711815,1997,"Lawson,Victoria"
9205322,1992,
9211531,1992,"Brown,Lawrence"
8112494,1981,"Pas,Eric"
8611327,1986,"Klinger,Lee|Veblen,Thomas"
9529780,1996,"Kwan,Mei-Po"
9151370,1991,"Zawislak,Ronald"
0351241,2004,"Sheridan,Scott|Power,Helen"
0001964,2000,"Buckley,Aileen|Walker,Peter"
9506132,1995,"Tinker,Irene|Watts,Michael"
0111743,2001,"McCay,Timothy|McCay,Deanna"
7821524,1979,"Tobler,Waldo"
8707291,1987,"Graham,Julie"
9974540,1999,"Wu,Weiping"
0426609,2004,"Kurtz,Hilda"
8851739,1989,"Wilson,John"
0751263,2008,"Walcott,Susan"
9416308,1994,"Anderson,Robert"
9629843,1996,"Clark,Peter"
9014392,1990,
0221105,2002,"Grimmond,C Susan"
8912471,1989,"Campbell,David"
0243772,2003,"Yarnal,Brenton"
0849823,2009,"Frickel,Scott"
0623230,2006,"Hudson,Paul"
9986561,2000,"Sweeney,Stuart"
8520776,1986,"Price,Martin|Ives,Jack"
8206067,1982,"Hubert,Lawrence|Golledge,Reginald"
9000186,1990,"Marcus,Melvin"
9310049,1993,"Moran,Emilio"
8120749,1982,"Shelley,Fred"
9810945,1998,"Odland,John"
9111036,1991,
8002586,1980,"Fuchs,Roland"
0138349,2002,"Gaile,Gary|Aspaas,Helen|Abler,Ronald"
0201825,2002,"Qi,Ye"
0451509,2005,"Buttenfield,Barbara"
0323131,2003,"Emch,Michael"
8025378,1981,"Stevens,Benjamin"
8618052,1987,"Moellering,Harold"
69E5248,1969,
0751790,2008,"Ellis,Andrew|Balling,Robert|Cerveny,Randall"
9100526,1991,"Moran,Emilio"
9451197,1994,"Yool,Stephen|Comrie,Andrew|Plane,David"
0000557,2000,"Pease,Patrick|Rigsby,Catherine|Gares,Paul|Lecce,Scott"
9508550,1995,"Murton,Brian"
9406575,1994,"Byrne,Roger"
7519039,1975,"Cohen,Saul"
8512376,1985,"Johannessen,Carl"
7707076,1977,"Hanham,R."
9986475,2000,"Ben-Akiva,Moshe"
8309173,1983,"Osleeb,Jeffrey"
9905900,1999,"Rogerson,Peter"
0402503,2004,"Harden,Carol"
8411692,1984,"Thomas,Morgan"
7902811,1979,"Good,Charles"
0214042,2002,"Sun,Yifei"
9403479,1994,"Gomez,Basil"
9520338,1995,"Berry,Kate"
9905293,1999,"Wescoat,James"
9600465,1997,"Goodchild,Michael"
0921704,2009,"Tasch,Jeremy"
9023047,1991,"Golledge,Reginald"
0644924,2007,"Walker,Joan"
9628637,1996,"Beyers,William"
8713229,1987,"Malecki,Edward"
8722310,1988,"MacEachren,Alan"
8518586,1986,"Barry,Roger"
9707782,1997,"Stillman,Michael|Trefethen,Lloyd|Heegard,Chris|Durrett,Richard|Guckenheimer,John"
8418295,1985,"Schofield,Norman"
9114399,1991,"Knox,Paul"
9417137,1994,"Perry,John"
0078686,2000,"Shen,Qing|Peng,Zhong-ren|Sanchez,Thomas"
67E5248,1967,
7615548,1976,"Wilken,Gene"
8105882,1981,"Rees,John"
7140221,1971,
0802756,2008,"Short,Anne|Norgaard,Richard"
0822489,2008,"Rogerson,Peter|Wang,Le"
1005927,2008,"Torres,Rebecca"
8721868,1988,"Malanson,George"
9408160,1994,"Nyerges,Timothy"
0117450,2001,"Hanson,Susan"
0647877,2007,"Nordstrom,Karl|Jackson,Nancy"
0451716,2005,"Robeson,Scott"
1003622,2010,"Engel,Frank|Rhoads,Bruce"
66E8216,1966,
9304397,1993,"Riecke,Hermann|Bernoff,Andrew|Kath,William"
0719673,2007,"George,Marianne|Finney,Ben|Feinberg,Richard"
8006563,1980,"Casetti,Emilio"
8507500,1985,"Walker,Harley"
7246133,1972,
9110306,1991,"Voeks,Robert"
9304604,1993,"Caine,T. Nelson"
9907904,1999,"Sheppard,Eric"
0718279,2007,"Curtis,Walter"
8213846,1982,"Darmody,Robert|Thorn,Colin"
9504088,1995,"Schreuder,Yda"
8303049,1983,"Gould,Peter"
9750537,1997,"Brown,Judith|Armstrong,Marc"
0136988,2002,"Markusen,Ann"
67S1303,1967,
0098832,2001,"Moellering,Harold"
9900915,1999,"Gaile,Gary"
9527844,1996,"Proctor,James"
9105493,1991,"Fearn,Miriam|Liu,Kam-biu"
0901605,2009,"Xiao,Yu|Highfield,Wesley|Van Zandt,Shannon"
0078621,2000,"Bowen,John"
9511965,1996,"Wood,Charles|Pullum,Thomas"
8120793,1982,"Reynolds,David"
0648393,2007,"Mountrakis,Giorgos"
0618364,2006,"Barthelmie,Rebecca|Pryor,Sara"
7140219,1971,
0802898,2008,"Lobben,Amy"
9451856,1994,"Rhodes,Dallas"
0106561,2001,"Wilcock,Peter"
8620016,1987,"Pickles,John"
8209365,1982,"Oi,Walter"
0851108,2009,"Schaetzl,Randall"
8405726,1984,"Hewings,Geoffrey J|Boyce,David"
9618500,1997,"Fan,C. Cindy"
9810881,1998,"Walker,Richard"
0846655,2009,"Wang,Shaowen"
0413954,2004,"Hunn,Eugene"
8408738,1984,"Changnon,Stanley"
8696038,1986,"Winston,Victor"
8600654,1986,"Moriarty,Barry"
9121321,1992,"Molloy,Paula|Williams,Stephen"
9904389,1999,"Vias,Alexander"
0114361,2001,"Begg,Robert"
0416300,2004,"Cova,Thomas"
0126131,2002,"Gabrielson,Thomas|Hovius,Niels|Slingerland,Rudy"
0402150,2004,"Feser,Edward"
8902812,1989,"Cressie,Noel"
0525203,2005,"Lafon,Charles|Cairns,David"
9701830,1997,"Parker,Kathleen"
9905313,1999,"Johnson,Sherri|Jones,Julia"
9213072,1992,"Winkler,Julie"
9304259,1993,"Johnson,Douglas"
8914237,1990,"Wollenberg,Eva|Watts,Michael"
0349986,2004,"Mock,Cary"
8311962,1983,"Mayer,Jonathan"
0097263,2001,"Dove,Michael"
0826373,2008,"Washington-Ottombre,Camille|Pijanowski,Bryan"
8001340,1980,"Hanson,Perry"
9900840,1999,"Holliday,Vance"
0505759,2005,"DeOliveira,Victor"
9106145,1991,
9104731,1991,
8210972,1982,"Palm,Risa"
0902582,2009,"Paige,Sarah|Mayer,Jonathan"
9901272,1998,"Black,William"
9506005,1995,"Watts,Michael"
7919457,1979,"Isard,Walter"
9811145,1998,"Jones,John"
9196167,1991,"Shammas,Carole"
0825406,2008,"Taylor,Zachary|Finkelstein,David|Horn,Sally"
9111853,1991,"Malanson,George"
8109384,1981,"Clark,William A"
9113379,1991,"Garcia,Margot"
8952403,1989,"Cwick,Gary"
9320895,1994,"Woodward,David"
0723398,2007,"Blue,Sarah"
0825278,2008,"Buck,David|Brenner,Mark"
8605613,1986,"Morrow-Jones,Hazel"
8803182,1988,"Hosier,Richard"
0416208,2004,"Yuan,May"
9508426,1995,"Turner,B."
9207039,1992,"Hall,Peter"
9012759,1991,"Zimmerer,Karl"
9875015,1999,"Barrett,Linda"
8410746,1984,"Clark,Gordon"
0341788,2003,"Vorosmarty,Charles"
9201525,1992,"Machette,Michael"
8516644,1986,"Rushton,Gerard"
9506671,1995,"Sheppard,Eric"
7616822,1976,"Nietschmann,Bernard"
9405356,1994,"Schaetzl,Randall"
8604223,1986,"Peuquet,Donna"
0425209,2004,"Rhoads,Bruce"
9422051,1995,"Domosh,Mona"
0554693,2006,"DiBlasi,Michael|Koch,Magaly"
0832367,2007,"Miller,Jennifer"
8712142,1987,"Huff,James"
8722086,1988,"Griffith,Daniel"
66S1109,1966,
0924479,2009,"Emch,Michael"
9019041,1991,"Chin,David|McGranaghan,Matthew"
8014256,1980,"Anas,Alex"
9351783,1993,"Phillips,Jonathan|Gares,Paul"
9505929,1995,"Lloyd,Robert"
8812674,1988,"Harley,J. Brian|Woodward,David"
0239749,2003,"Wasklewicz,Thad"
8513385,1986,"Marble,Duane"
0647249,2007,"Brannstrom,Christian"
7140228,1971,
0348986,2004,"Seto,Karen"
0229358,2003,"Torres,Raymond|Voulgaris,George"
0503151,2005,"Mutersbaugh,Tad"
0327211,2003,"Wolch,Jennifer"
9801837,1998,"Bagchi-Sen,Sharmistha"
0443152,2004,"Elwood,Sarah"
0418281,2004,"Holloway,Steven"
0075028,2000,"Silvey,Rachel"
0647868,2007,"Pryor,Sara"
9627957,1996,"Lam,Nina"
8617230,1987,"Wong,Richard|Lowe,Timothy"
0000275,2000,"Sheppard,Eric"
0136229,2002,"LeSage,James"
9012423,1990,"Liverman,Diana"
0503339,2005,"Peterson,Jeffrey|Harrington,Lisa M."
0728244,2007,"DeLyser,Dydia"
8706847,1987,"Slocum,Terry"
7822020,1979,"Lakshmanan,T."
0703397,2007,"Neuhauser,Duncan"
0526381,2005,"Turner,B.|Polsky,Colin|Turner,B."
8511459,1985,"Boxer,Baruch"
0137170,2002,"Shauman,Kimberlee"
9123396,1993,"Leinbach,Thomas"
0220944,2002,"Hope,Allen"
7818130,1979,"Sopher,David"
9305191,1993,"Pitlick,John"
1002479,2010,"Harley,Grant|Grissino-Mayer,Henri"
8714047,1988,"Johansen,Harley"
9900818,1999,"Herlihy,Peter"
8411219,1984,"Knight,C. Gregory"
9811080,1998,"Graumlich,Lisa"
9515244,1996,"Pickles,John"
0106315,2001,"Leuthart,Clara|Brennan,James|Cerrito,Patricia"
0519546,2005,"Casas,Alejandro|Parker,Kathleen|Friar,Elizabeth|Cruse-Sanders,Jennifer"
9122778,1992,"Feldman,Marshall"
0919381,2009,"Pataki,Diane"
8521502,1986,"Sen,Ashish"
9908279,1999,"Golledge,Reginald"
8413657,1985,"Johnson,Douglas"
68S2153,1968,
9252354,1992,"Hyers,Albert|Balduzy,Diane|Jay,Timothy|May,James"
8713614,1987,"Isserman,Andrew|Rose,Adam|Greenstreet,David|Miernyk,William"
9354870,1994,"Murdoch,William"
9552283,1995,"Reeves,Thomas|Lo,Chor-Pang|Affolter,James"
9106153,1991,
9900876,1999,"Angel,David"
9212204,1992,"Bascom,Johnathan"
7037087,1970,
9911222,2000,"Malecki,Edward"
9210189,1992,"Porter,Philip"
0623301,2006,"Walker,Robert"
0078390,2000,"Clark,William A"
8519391,1986,"Johnson,William"
7140220,1971,
9506062,1995,"Watts,Michael"
9451135,1994,"Naim,Shamim"
8408676,1984,"Steinke,Theodore|Lloyd,Robert"
0518967,2005,"Murray,Alan"
8821514,1989,"Schmitt,James|Hansen,Katherine"
8900240,1989,"Shumsky,Neil|Knox,Paul|Bohland,James"
8320602,1984,"Golledge,Reginald"
8511589,1986,"Pavel,Misha"
9001183,1990,
0602569,2006,"Dunne,Thomas"
0351462,2004,"McCabe,J. Terrence"
9011690,1990,"Demko,George"
0414317,2003,"Blum,Michael"
9251589,1992,"Coleman,Tommy"
8420789,1985,"Mark,David"
9319015,1993,"Crowley,Kevin"
9224515,1993,"Beyers,William"
8605296,1986,"Knox,James"
8713738,1987,"Waylen,Peter|Caviedes,Cesar"
0647878,2007,"Hilty,Jodi"
8115551,1981,"Heusser,Calvin"
9113056,1991,"Abler,Ronald"
67E8216,1967,
8551721,1985,"Dodson,Russell"
9008480,1991,"Thompson,Chris"
8318779,1984,"Scranton,Philip"
8950766,1989,"Bishop,Michael"
0740998,2008,"Ryavec,Karl"
0802667,2007,"Sherriff,Rosemary"
9120237,1992,"Brunt,James"
9320826,1994,"Borjas,George"
0327147,2003,"Hamrick,James"
8513748,1986,"Leatherman,Stephen"
68S1851,1968,
0225780,2002,"Graf,William"
9819828,1999,"Staeheli,Lynn"
0850664,2009,"Bird,Douglas|Bird,Rebecca"
0241286,2003,"Bentley,Mace"
8470674,1985,"Lanegran,David"
7921376,1979,"Duffy,Joseph"
8420268,1985,"Jackson,Randall"
8111411,1981,"Enelow,James"
9121637,1992,"Esparza,Adrian|Waldorf,Brigitte"
7140232,1971,
8906313,1989,"Berk,Richard|Clark,William A"
8112797,1981,"Holz,Robert"
9510318,1995,"Savage,Melissa"
8317803,1984,"Simons,Robert|Ulrich,Roger"
0004357,2001,"Wei,Yehua Dennis"
7035280,1970,
9023563,1991,"Shammas,Carole"
8850500,1988,"Cavaleri,Mark|Kurth-Schai,Ruth-Anne|Pitzl,Gerald"
0000282,2000,"Leitner,Helga"
9122155,1992,"Harrison,Bennett"
7682444,1977,"Gould,Peter"
8921241,1990,"Dear,Michael J.|Wolch,Jennifer"
8400626,1984,
0002193,2000,"Brook,George"
0521663,2005,"Dunne,Thomas|Singer,Michael"
8512445,1985,"Mercer,John"
9617798,1997,"Neumann,Roderick"
8821227,1989,"O'Kelly,Morton"
9732469,1998,"Mattingly,Doreen|Aitken,Stuart"
8511051,1986,"Schoenberger,Erica"
0327615,2003,"Worboys,Michael"
0926985,2009,"Paulson Priebe,Monica|Tucker,Catherine"
9121851,1992,"Krmenec,Andrew"
0095977,2001,"Aoyama,Yuko"
0228876,2003,"Springer,Gregory"
9906961,1999,"Staeheli,Lynn"
0921424,2009,"Gerhardt,Hannes"
70Z7682,1970,
0452389,2005,"Fisher,Robert|Franklin,Janet"
0726806,2007,"Hemond,Harold"
0242023,2003,"Olds,Kristopher|Peck,Jamie"
8915175,1989,"Olson,Judy"
0926751,2009,"Jorgensen,Stacy"
